cabinet_uid,municipality_id,source_cabinet_key,cabinet_name,latitude,longitude,fixture_rows,lamp_count,rated_power_w,controller_type,controller_link_status,address,source_file
SY-CAB-44591d458f,suyeong,망미번영로38-1 (15),망미번영로38-1 (15),35.16915408,129.1113877,15,15,1500.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-c6be2c6456,suyeong,망미번영로52-1 (19),망미번영로52-1 (19),35.17126236,129.1109621,19,19,2100.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-bee6a8d850,suyeong,망미번영로52-2 (19),망미번영로52-2 (19),35.16866698,129.1157875,19,19,2580.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-937deb1a4d,suyeong,망미번영로55-1 (21),망미번영로55-1 (21),35.17452991,129.109144,21,21,2570.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-2b786604c6,suyeong,망미번영로70-1 (16),망미번영로70-1 (16),35.17076786,129.1138243,22,22,1675.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-2293ce0a68,suyeong,망미번영로70-2 (16),망미번영로70-2 (16),35.172193995,129.1114739,16,16,1600.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-243ae11413,suyeong,망미번영로85-1 (14),망미번영로85-1 (14),35.175409630000004,129.1082225,14,14,1400.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-e583f354ec,suyeong,망미번영로88-1 (17),망미번영로88-1 (17),35.17449142,129.1148748,17,17,1650.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-d3316300a8,suyeong,망미어린이공원 (11),망미어린이공원 (11),35.17423731,129.1070776,11,11,550.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-236d0f423d,suyeong,무학로-1 (17),무학로-1 (17),35.1615411,129.1172235,17,17,1700.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-3ddbf0de24,suyeong,무학로21-1 (11),무학로21-1 (11),35.16383891,129.1165862,11,11,1450.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-963cc46567,suyeong,무학로49-1 (13),무학로49-1 (13),35.16341941,129.1185451,13,13,1550.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-4bde8263ef,suyeong,무학로63-1 (21),무학로63-1 (21),35.1639581,129.1198183,21,21,2100.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
